ID,会社名,ふりがな
67,株式会社仁科百貨店,かぶしきがいしゃにしなひゃっかてん
68,日本生命保険相互会社,にほんせいめいほけんそうごかいしゃ
69,株式会社NHC,かぶしきがいしゃNHC
70,P･O･Pホールディングス株式会社,P･O･Pほーるでぃんぐすかぶしきがいしゃ
71,株式会社サンラヴィアン,かぶしきがいしゃさんらゔぃあん
72,内山工業株式会社,うちやまこうぎょうかぶしきがいしゃ
73,株式会社ケイ・ウノ,かぶしきがいしゃけい・うの
74,小田象製粉株式会社,おだぞうせいふんかぶしきがいしゃ
75,株式会社ウッズカンパニー,かぶしきがいしゃうっずかんぱにー
76,岩水開発株式会社（建設部門）,いわみずかいはつかぶしきがいしゃ（けんせつぶもん）
77,藤徳物産株式会社,ふじとくぶっさんかぶしきがいしゃ
78,スズキ岡山販売株式会社,すずきおかやまはんばいかぶしきがいしゃ
79,JAPAN HOME WAND株式会社,JAPAN HOME WANDかぶしきがいしゃ
80,大黒天物産株式会社,だいこくてんぶっさんかぶしきがいしゃ
81,片山工業株式会社,かたやまこうぎょうかぶしきがいしゃ
82,株式会社ハローズ,かぶしきがいしゃはろーず
83,株式会社クラップス,かぶしきがいしゃくらっぷす
84,株式会社シティライト,かぶしきがいしゃしてぃらいと
85,株式会社まつもとコーポレーション,かぶしきがいしゃまつもとこーぽれーしょん
86,株式会社ホンダ四輪販売岡山,かぶしきがいしゃほんだよんりんはんばいおかやま
87,株式会社いのうえ (いのうえエヴァホール),かぶしきがいしゃいのうえ (いのうええゔぁほーる)
88,株式会社ケイコーポレーション,かぶしきがいしゃけいこーぽれーしょん
89,株式会社ザグザグ,かぶしきがいしゃざぐざぐ
90,株式会社ティーワイ・ピー,かぶしきがいしゃてぃーわい・ぴー
91,興南設計株式会社,きょうみなみせっけいかぶしきがいしゃ
92,株式会社共立精機,かぶしきがいしゃきょうりつせいき
93,鳴本石材株式会社,めいもといしざいかぶしきがいしゃ
94,株式会社山陽マルナカ,かぶしきがいしゃさんようまるなか
95,株式会社メグハウスファミリアグループ,かぶしきがいしゃめぐはうすふぁみりあぐるーぷ
96,株式会社重藤組,かぶしきがいしゃじゅうふじくみ
97,ライフサロン（岩水開発株式会社　金融部門）,らいふさろん（いわみずかいはつかぶしきがいしゃ　きんゆうぶもん）
98,ナカウン株式会社,なかうんかぶしきがいしゃ
99,ELJソーラーコーポレーション株式会社,ELJそーらーこーぽれーしょんかぶしきがいしゃ
100,イオンリテール株式会社,いおんりてーるかぶしきがいしゃ
101,株式会社鞆スコレ・コーポレーション,かぶしきがいしゃともすこれ・こーぽれーしょん
102,三井不動産リアルティ中国株式会社,みついふどうさんりあるてぃちゅうごくかぶしきがいしゃ
103,アサゴエ工業株式会社,あさごえこうぎょうかぶしきがいしゃ
104,株式会社ベネッセインフォシェル,かぶしきがいしゃべねっせいんふぉしぇる
105,マイライフ株式会社（オール薬局）,まいらいふかぶしきがいしゃ（おーるやっきょく）
106,イワタニ山陽株式会社,いわたにさんようかぶしきがいしゃ
107,社会福祉法人松園福祉会【あすなろ園】,しゃかいふくしほうじんまつそのふくしかい【あすなろその】
108,大森商事株式会社,おおもりしょうじかぶしきがいしゃ
109,高山産業株式会社,こうざんさんぎょうかぶしきがいしゃ
110,富士技術開発株式会社,ふじぎじゅつかいはつかぶしきがいしゃ
111,株式会社ププレひまわり,かぶしきがいしゃぷぷれひまわり
112,ヤンマーアグリジャパン株式会社　中四国支社,やんまーあぐりじゃぱんかぶしきがいしゃ　ちゅうしこくししゃ
113,社会福祉法人明光会,しゃかいふくしほうじんめいひかりかい
114,おかやま信用金庫,おかやましんようきんこ
115,株式会社土井,かぶしきがいしゃつちい
116,おもちゃ王国（サンヨープレジャーグループ）,おもちゃおうこく（さんよーぷれじゃーぐるーぷ）
117,株式会社トヨタレンタリース新岡山,かぶしきがいしゃとよたれんたりーすしんおかやま
118,株式会社西郡商店,かぶしきがいしゃにしぐんしょうてん
119,株式会社ビッグ・エス（ケーズデンキグループ）,かぶしきがいしゃびっぐ・えす（けーずでんきぐるーぷ）
120,大和クレス株式会社,やまとくれすかぶしきがいしゃ
121,株式会社MGH,かぶしきがいしゃMGH
122,株式会社アンセイ,かぶしきがいしゃあんせい
123,シーアール物流株式会社,しーあーるぶつりゅうかぶしきがいしゃ
124,山陽ヤナセ株式会社,さんようやなせかぶしきがいしゃ
125,コムパス株式会社,こむぱすかぶしきがいしゃ
126,菱自梱包株式会社,ひしじこんぽうかぶしきがいしゃ
127,株式会社藤屋,かぶしきがいしゃふじや
128,株式会社倉敷自動車教習所,かぶしきがいしゃくらしきじどうしゃきょうしゅうじょ
129,ダブルツリーグループ,だぶるつりーぐるーぷ
130,セキスイハイム中四国株式会社,せきすいはいむちゅうしこくかぶしきがいしゃ
131,ネッツトヨタ山陽株式会社,ねっつとよたさんようかぶしきがいしゃ
132,ダイキンＨＶＡＣソリューション中四国株式会社,だいきんＨＶＡＣそりゅーしょんちゅうしこくかぶしきがいしゃ
133,エナジーサプライ株式会社,えなじーさぷらいかぶしきがいしゃ
134,株式会社エブリイホーミイホールディングス【(株)エブリイ／(株)ホーミイダイニング】,かぶしきがいしゃえぶりいほーみいほーるでぃんぐす【(かぶ)えぶりい／(かぶ)ほーみいだいにんぐ】
135,岡山トヨペット株式会社,おかやまとよぺっとかぶしきがいしゃ
136,株式会社デジタルステーション,かぶしきがいしゃでじたるすてーしょん
137,カジノン株式会社,かじのんかぶしきがいしゃ
138,株式会社ウェーブハウス,かぶしきがいしゃうぇーぶはうす
139,株式会社カートップ,かぶしきがいしゃかーとっぷ
140,大松精機グループ【大松精機（株）／大松工業（株）／大松テック（株）／ダイショウ（株）／大松機工（株）／関東大松精機（株）】,おおまつせいきぐるーぷ【おおまつせいき（かぶ）／おおまつこうぎょう（かぶ）／おおまつてっく（かぶ）／だいしょう（かぶ）／おおまつきこう（かぶ）／かんとうおおまつせいき（かぶ）】
